# L3 초등 5~6학년
weekend	명	주말	What did you do last weekend?	지난 주말에 뭐 했어요?
holiday	명	휴일	Tomorrow is a holiday.	내일은 휴일이에요.
vacation	명	방학	Summer vacation starts soon.	여름 방학이 곧 시작돼요.
trip	명	여행	We took a trip to Busan.	우리는 부산으로 여행을 갔어요.
plan	명	계획	What is your plan for today?	오늘 계획이 뭐예요?
hobby	명	취미	My hobby is drawing.	내 취미는 그림 그리기예요.
diary	명	일기	I write a diary every night.	나는 매일 밤 일기를 써요.
letter	명	편지	I wrote a letter to my friend.	나는 친구에게 편지를 썼어요.
newspaper	명	신문	Dad reads the newspaper.	아빠는 신문을 읽어요.
magazine	명	잡지	This magazine has many pictures.	이 잡지에는 그림이 많아요.
subject	명	과목	What is your favorite subject?	가장 좋아하는 과목이 뭐예요?
math	명	수학	Math class is at nine.	수학 수업은 아홉 시에 있어요.
science	명	과학	Science is interesting.	과학은 흥미로워요.
history	명	역사	We learned Korean history.	우리는 한국 역사를 배웠어요.
art	명	미술	Art class is fun.	미술 시간은 재미있어요.
homework	명	숙제	I finished my homework.	나는 숙제를 끝냈어요.
test	명	시험	The test was not easy.	시험은 쉽지 않았어요.
question	명	질문	May I ask a question?	질문해도 될까요?
problem	명	문제	We solved the problem together.	우리는 함께 문제를 해결했어요.
grade	명	학년	My brother is in the third grade.	내 동생은 3학년이에요.
classroom	명	교실	Our classroom is on the second floor.	우리 교실은 2층에 있어요.
playground	명	운동장	Kids run on the playground.	아이들이 운동장에서 뛰어요.
gym	명	체육관	We exercise in the gym.	우리는 체육관에서 운동해요.
museum	명	박물관	The museum is closed on Monday.	박물관은 월요일에 문을 닫아요.
theater	명	극장	The theater is full today.	오늘 극장이 꽉 찼어요.
bakery	명	빵집	The bakery smells wonderful.	빵집에서 좋은 냄새가 나요.
police	명	경찰	The police helped the lost child.	경찰이 길 잃은 아이를 도와줬어요.
firefighter	명	소방관	The firefighter is very brave.	소방관은 매우 용감해요.
doctor	명	의사	The doctor checked my throat.	의사가 내 목을 검사했어요.
nurse	명	간호사	The nurse was very kind.	간호사는 매우 친절했어요.
scientist	명	과학자	The scientist studies stars.	그 과학자는 별을 연구해요.
farmer	명	농부	The farmer grows rice.	농부는 벼를 길러요.
cook	명	요리사	The cook made a great soup.	요리사가 훌륭한 수프를 만들었어요.
job	명	직업	What is your dream job?	장래 희망 직업이 뭐예요?
dream	명	꿈	My dream is to be a pilot.	내 꿈은 조종사가 되는 거예요.
future	명	미래	Think about your future.	너의 미래를 생각해 봐.
health	명	건강	Exercise is good for health.	운동은 건강에 좋아요.
exercise	명	운동	I do exercise every morning.	나는 매일 아침 운동을 해요.
habit	명	습관	Reading is a good habit.	독서는 좋은 습관이에요.
breakfast	명	아침밥	Don't skip breakfast.	아침밥을 거르지 마세요.
medicine	명	약	Take this medicine after meals.	식사 후에 이 약을 드세요.
fever	명	열	He has a high fever.	그는 열이 높아요.
cough	명	기침	I have a bad cough.	기침이 심해요.
headache	명	두통	I have a headache today.	오늘 머리가 아파요.
toothache	명	치통	The toothache kept me awake.	치통 때문에 잠을 못 잤어요.
dentist	명	치과의사	I visit the dentist twice a year.	나는 일 년에 두 번 치과에 가요.
glasses	명	안경	I wear glasses for reading.	나는 책 읽을 때 안경을 써요.
clothes	명	옷	Put on warm clothes.	따뜻한 옷을 입으세요.
pants	명	바지	These pants are too long.	이 바지는 너무 길어요.
skirt	명	치마	She wore a blue skirt.	그녀는 파란 치마를 입었어요.
jacket	명	재킷	Take your jacket, it's cold.	추우니까 재킷을 챙겨요.
gloves	명	장갑	Wear gloves in winter.	겨울에는 장갑을 끼세요.
scarf	명	목도리	Grandma made this scarf.	할머니가 이 목도리를 만들었어요.
pocket	명	주머니	The key is in my pocket.	열쇠는 내 주머니에 있어요.
wallet	명	지갑	I lost my wallet yesterday.	나는 어제 지갑을 잃어버렸어요.
money	명	돈	Save your money.	돈을 저축하세요.
price	명	가격	The price is too high.	가격이 너무 비싸요.
cheap	형	싼	This shirt is cheap.	이 셔츠는 싸요.
expensive	형	비싼	That watch is expensive.	저 시계는 비싸요.
free	형	무료의	The concert is free today.	오늘 공연은 무료예요.
famous	형	유명한	This place is famous for noodles.	이곳은 국수로 유명해요.
popular	형	인기 있는	This game is popular at school.	이 게임은 학교에서 인기가 많아요.
special	형	특별한	Today is a special day.	오늘은 특별한 날이에요.
important	형	중요한	Health is the most important thing.	건강이 가장 중요해요.
interesting	형	흥미로운	The story is very interesting.	그 이야기는 매우 흥미로워요.
boring	형	지루한	The movie was boring.	그 영화는 지루했어요.
exciting	형	신나는	The soccer game was exciting.	축구 경기는 신났어요.
funny	형	웃긴	He told a funny story.	그는 웃긴 이야기를 했어요.
quiet	형	조용한	Please be quiet in class.	수업 중에는 조용히 하세요.
loud	형	시끄러운	The music is too loud.	음악이 너무 시끄러워요.
dirty	형	더러운	My shoes got dirty.	신발이 더러워졌어요.
careful	형	조심하는	Be careful on the stairs.	계단에서 조심하세요.
different	형	다른	We are different but friends.	우리는 다르지만 친구예요.
same	형	같은	We wear the same shoes.	우리는 같은 신발을 신어요.
favorite	형	가장 좋아하는	Blue is my favorite color.	파란색은 내가 가장 좋아하는 색이에요.
ready	형	준비된	Are you ready to go?	갈 준비 됐어요?
sick	형	아픈	She is sick in bed.	그녀는 아파서 누워 있어요.
healthy	형	건강한	Eat healthy food.	건강한 음식을 먹어요.
begin	동	시작하다	The class begins at nine.	수업은 아홉 시에 시작해요.
finish	동	끝내다	Finish your meal first.	식사를 먼저 끝내세요.
arrive	동	도착하다	The train arrives at noon.	기차는 정오에 도착해요.
leave	동	떠나다	We leave home at eight.	우리는 여덟 시에 집을 나서요.
visit	동	방문하다	We visit grandma on weekends.	우리는 주말에 할머니를 방문해요.
travel	동	여행하다	I want to travel the world.	나는 세계를 여행하고 싶어요.
move	동	이사하다	They moved to a new city.	그들은 새 도시로 이사했어요.
carry	동	나르다	Can you carry this bag?	이 가방을 들어 줄 수 있어요?
bring	동	가져오다	Bring your umbrella tomorrow.	내일 우산을 가져오세요.
send	동	보내다	I will send you a photo.	사진을 보내 줄게요.
receive	동	받다	I received a gift from her.	나는 그녀에게서 선물을 받았어요.
borrow	동	빌리다	Can I borrow your eraser?	지우개 좀 빌릴 수 있을까요?
return	동	돌려주다	Return the book by Friday.	금요일까지 책을 반납하세요.
choose	동	고르다	Choose your favorite one.	가장 좋아하는 것을 고르세요.
decide	동	결정하다	We decided to go camping.	우리는 캠핑 가기로 결정했어요.
try	동	노력하다	Try your best.	최선을 다해 노력해요.
practice	동	연습하다	Practice the piano every day.	매일 피아노를 연습하세요.
win	동	이기다	Our team won the game.	우리 팀이 경기에서 이겼어요.
lose	동	지다	We lost by one point.	우리는 1점 차로 졌어요.
wait	동	기다리다	Wait for the green light.	초록불을 기다리세요.
hurry	동	서두르다	Hurry up, or we'll be late.	서둘러, 안 그러면 늦어.
worry	동	걱정하다	Don't worry about it.	그것에 대해 걱정하지 마세요.
hope	동	바라다	I hope you feel better.	빨리 낫기를 바라요.
believe	동	믿다	I believe you.	나는 너를 믿어.
understand	동	이해하다	Now I understand the question.	이제 그 질문을 이해했어요.
