# level	track	en	ko
1	basic	I am a student.	나는 학생이에요.
1	basic	This is my dog.	이것은 내 개예요.
1	basic	I like apples.	나는 사과를 좋아해요.
1	basic	The cat is small.	그 고양이는 작아요.
1	basic	I can jump high.	나는 높이 뛸 수 있어요.
1	basic	She is my mom.	그녀는 우리 엄마예요.
1	basic	We go to school.	우리는 학교에 가요.
1	basic	The sky is blue.	하늘은 파래요.
1	basic	I have two pencils.	나는 연필이 두 자루 있어요.
1	basic	He is my friend.	그는 내 친구예요.
1	basic	I drink milk every morning.	나는 매일 아침 우유를 마셔요.
1	basic	The dog is under the desk.	개가 책상 아래에 있어요.
1	basic	Open the door, please.	문을 열어 주세요.
1	basic	I love my family.	나는 가족을 사랑해요.
1	basic	Look at the bird.	저 새를 봐요.
1	basic	It is a big house.	그것은 큰 집이에요.
1	basic	I am seven years old.	나는 일곱 살이에요.
1	basic	We play after school.	우리는 방과 후에 놀아요.
1	basic	The sun is hot.	해는 뜨거워요.
1	basic	Give me the ball, please.	공을 나에게 주세요.
1	basic	My bag is red.	내 가방은 빨간색이에요.
1	basic	I eat breakfast at seven.	나는 일곱 시에 아침을 먹어요.
1	basic	The baby is sleeping now.	아기가 지금 자고 있어요.
1	basic	I can sing a song.	나는 노래를 부를 수 있어요.
1	basic	We read books together.	우리는 함께 책을 읽어요.
1	basic	Wash your hands first.	먼저 손을 씻으세요.
1	basic	The flower is pretty.	그 꽃은 예뻐요.
1	basic	I go to bed at nine.	나는 아홉 시에 자러 가요.
1	basic	Come here, please.	이리 와 주세요.
1	basic	It is snowing today.	오늘 눈이 와요.
2	basic	What time do you get up?	너는 몇 시에 일어나니?
2	basic	I usually walk to school.	나는 보통 학교에 걸어가요.
2	basic	She can ride a bike.	그녀는 자전거를 탈 수 있어요.
2	basic	We watched a movie yesterday.	우리는 어제 영화를 봤어요.
2	basic	My favorite season is summer.	내가 가장 좋아하는 계절은 여름이에요.
2	basic	He plays soccer every weekend.	그는 주말마다 축구를 해요.
2	basic	There are many books in the library.	도서관에는 책이 많아요.
2	basic	Do you like Korean food?	한국 음식을 좋아해요?
2	basic	I am taller than my brother.	나는 내 동생보다 키가 커요.
2	basic	Let's meet at the park.	공원에서 만나자.
2	basic	The store opens at ten.	그 가게는 열 시에 열어요.
2	basic	I want to be a teacher.	나는 선생님이 되고 싶어요.
2	basic	How is the weather today?	오늘 날씨가 어때요?
2	basic	She is good at drawing.	그녀는 그림을 잘 그려요.
2	basic	We had pizza for dinner.	우리는 저녁으로 피자를 먹었어요.
2	basic	Don't be late for class.	수업에 늦지 마세요.
2	basic	I brush my teeth three times a day.	나는 하루에 세 번 이를 닦아요.
2	basic	Can you help me with this box?	이 상자 드는 것 좀 도와줄래요?
2	basic	My birthday is in October.	내 생일은 10월이에요.
2	basic	He is wearing a blue jacket.	그는 파란 재킷을 입고 있어요.
2	basic	The zoo is far from here.	동물원은 여기서 멀어요.
2	basic	I am reading an interesting book.	나는 재미있는 책을 읽고 있어요.
2	basic	She sings better than me.	그녀는 나보다 노래를 잘해요.
2	basic	We should save water.	우리는 물을 아껴야 해요.
2	basic	Turn off the light, please.	불을 꺼 주세요.
2	basic	I visited my grandmother last week.	나는 지난주에 할머니를 방문했어요.
2	basic	It rained a lot last night.	어젯밤에 비가 많이 왔어요.
2	basic	Which color do you like better?	어떤 색이 더 좋아요?
2	basic	I always do my homework first.	나는 항상 숙제를 먼저 해요.
2	basic	The movie starts at six thirty.	영화는 여섯 시 반에 시작해요.
3	basic	I have lived here for five years.	나는 여기서 5년째 살고 있어요.
3	basic	Have you ever been to Jeju?	제주에 가 본 적 있어요?
3	basic	I am going to visit my uncle tomorrow.	나는 내일 삼촌을 방문할 거예요.
3	basic	You should see a doctor today.	오늘 병원에 가 보는 게 좋겠어요.
3	basic	Reading books makes me happy.	책 읽기는 나를 행복하게 해요.
3	basic	He asked me a difficult question.	그는 나에게 어려운 질문을 했어요.
3	basic	If it rains, we will stay home.	비가 오면 우리는 집에 있을 거예요.
3	basic	I don't know how to swim.	나는 수영하는 법을 몰라요.
3	basic	She told me an interesting story.	그녀는 나에게 흥미로운 이야기를 해 줬어요.
3	basic	The museum was built in 1990.	그 박물관은 1990년에 지어졌어요.
3	basic	I am interested in science.	나는 과학에 관심이 있어요.
3	basic	It is important to eat breakfast.	아침을 먹는 것은 중요해요.
3	basic	We decided to go camping this weekend.	우리는 이번 주말에 캠핑 가기로 했어요.
3	basic	My dream is to become a pilot.	내 꿈은 조종사가 되는 거예요.
3	basic	The book on the desk is mine.	책상 위의 책은 내 거예요.
3	basic	He runs faster than anyone in class.	그는 반에서 누구보다 빨리 달려요.
3	basic	I was doing homework when you called.	네가 전화했을 때 나는 숙제를 하고 있었어.
3	basic	Please tell me when the bus arrives.	버스가 언제 도착하는지 알려 주세요.
3	basic	Exercise every day to stay healthy.	건강을 유지하려면 매일 운동하세요.
3	basic	I forgot to bring my umbrella.	나는 우산 가져오는 것을 잊었어요.
3	basic	This cake tastes better than it looks.	이 케이크는 보기보다 맛있어요.
3	basic	Could you speak more slowly?	좀 더 천천히 말해 줄래요?
3	basic	I am looking forward to the vacation.	나는 방학을 기대하고 있어요.
3	basic	The teacher wants us to be quiet.	선생님은 우리가 조용하길 원하세요.
3	basic	Both my parents work at a hospital.	우리 부모님은 두 분 다 병원에서 일하세요.
3	basic	I practice the piano twice a week.	나는 일주일에 두 번 피아노를 연습해요.
3	basic	There is nothing to worry about.	걱정할 것은 아무것도 없어요.
3	basic	Turn right at the second corner.	두 번째 모퉁이에서 오른쪽으로 도세요.
3	basic	He was too tired to walk home.	그는 너무 피곤해서 집까지 걸을 수 없었어요.
3	basic	Would you like something to drink?	마실 것 좀 드릴까요?
4	basic	I have been studying English for three years.	나는 3년째 영어를 공부하고 있어요.
4	basic	The letter was written by my grandfather.	그 편지는 할아버지가 쓰신 거예요.
4	basic	I wonder why she looks so sad today.	그녀가 오늘 왜 그렇게 슬퍼 보이는지 궁금해요.
4	basic	He promised not to be late again.	그는 다시는 늦지 않겠다고 약속했어요.
4	basic	The city where I was born is small.	내가 태어난 도시는 작아요.
4	basic	It has been raining since this morning.	오늘 아침부터 비가 내리고 있어요.
4	basic	You had better take the subway now.	지금은 지하철을 타는 게 좋겠어요.
